champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
497,Rakan,14,4,False,0,6,5,13771,5756,11,26,2065,3860
39,Irelia,4,12,False,10,6,1,203325,13805,16,267,2033,3091
875,Sett,12,4,False,4,7,2,131496,10888,15,197,3044,6630
876,Lillia,4,11,False,1,8,2,178897,9266,14,15,1026,3157
22,Ashe,4,7,False,2,4,2,86137,9568,13,175,6673,3091
412,Thresh,4,14,True,3,2,15,16856,8369,13,37,0,3857
523,Aphelios,4,7,True,5,1,10,159339,13821,15,216,6673,2421
131,Diana,11,4,True,11,3,9,193490,13608,16,52,3157,3152
61,Orianna,12,4,True,2,6,13,102564,10520,15,182,0,3040
114,Fiora,4,12,True,10,5,8,153277,14163,17,187,6630,3053
64,LeeSin,11,4,False,2,5,1,58620,4550,8,11,2422,2055
81,Ezreal,4,1,False,1,4,1,39617,4797,8,101,3158,3070
350,Yuumi,14,3,False,0,4,3,4742,3298,8,4,3851,3802
234,Viego,4,12,False,0,6,3,34048,4487,9,98,3067,2031
7,Leblanc,12,4,False,3,8,1,29423,5551,8,72,2033,1082
238,Zed,4,14,True,7,0,4,59506,7652,11,113,1054,2031
89,Leona,4,14,True,1,2,10,10842,4383,7,17,3859,8001
145,Kaisa,7,4,True,4,1,4,51774,6489,10,107,1055,3006
131,Diana,4,11,True,6,1,4,102377,7850,11,8,3020,3157
164,Camille,12,14,True,9,2,3,60084,8896,11,94,2031,3078
117,Lulu,4,14,False,1,6,12,13236,7162,13,13,3853,2420
8,Vladimir,4,14,False,5,12,2,146175,10802,14,150,3089,3152
523,Aphelios,7,4,False,4,7,6,203874,12487,15,267,6673,2031
92,Riven,4,12,False,7,7,5,204089,13756,16,236,3071,6630
427,Ivern,11,4,False,4,8,12,262855,9280,14,26,3158,3107
164,Camille,12,14,True,9,7,8,130183,12848,16,163,1055,3748
202,Jhin,7,4,True,13,2,11,207096,16683,17,191,6695,6671
69,Cassiopeia,12,4,True,10,5,12,182459,13826,17,171,3070,6653
59,JarvanIV,4,11,True,2,7,21,141812,11184,15,35,3053,6630
26,Zilean,14,4,True,5,0,21,66283,11591,16,67,3108,3853
412,Thresh,14,4,True,2,1,15,9369,5535,9,21,2065,3855
3,Galio,12,4,True,2,0,10,91470,8258,12,146,3020,3152
104,Graves,11,4,True,11,0,5,123898,9261,12,25,6692,2031
110,Varus,4,7,True,6,3,5,63223,8674,11,149,6692,6695
876,Lillia,12,4,True,4,2,1,75415,7662,12,152,2033,3158
234,Viego,4,11,False,3,5,1,94257,6468,11,1,1042,1042
150,Gnar,4,12,False,1,3,1,53754,5638,11,111,0,2031
202,Jhin,4,1,False,2,3,1,55341,6427,10,113,0,6671
147,Seraphine,12,4,False,0,4,0,91426,6074,11,158,3158,1082
235,Senna,4,3,False,0,10,1,9378,4242,7,9,3057,0
126,Jayce,12,4,True,5,3,8,199068,14218,16,250,3111,6692
555,Pyke,14,4,True,6,3,3,14966,9584,11,12,3864,6631
145,Kaisa,3,4,True,4,2,7,127597,11045,15,203,3036,2420
134,Syndra,4,12,True,5,3,9,146008,13030,15,181,6655,3111
104,Graves,4,11,True,4,4,6,211535,12604,15,50,3111,6671
