champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
518,Neeko,32,4,True,9,5,19,34472,9376,13,21,3157,3152
141,Kayn,4,1,True,6,8,7,23375,8317,12,26,6630,3004
25,Morgana,4,1,True,11,6,20,26453,10590,14,15,2421,6653
223,TahmKench,4,3,True,9,4,25,26089,9994,15,9,2051,1011
157,Yasuo,32,4,True,5,8,10,44487,8938,13,44,3006,3033
53,Blitzcrank,3,4,False,4,8,19,15480,7457,13,3,3158,3070
51,Caitlyn,7,4,False,5,4,16,34747,8391,13,30,6672,3006
45,Veigar,4,6,False,10,8,11,41903,9565,13,36,6655,3020
5,XinZhao,4,32,False,10,12,11,29164,9025,12,11,6630,3111
12,Alistar,32,4,False,2,8,23,13527,7015,12,4,2051,3801
161,Velkoz,1,4,True,10,5,18,67922,12885,18,35,3916,4630
145,Kaisa,4,1,True,13,6,15,75919,14322,17,66,6672,3046
119,Draven,4,1,True,11,8,17,74510,14000,18,72,3140,6692
143,Zyra,4,3,True,3,5,10,28320,10328,16,17,6653,3020
67,Vayne,7,4,True,4,7,7,36072,11047,16,42,6672,2003
268,Azir,4,32,False,6,13,14,73410,12196,16,62,6653,3157
203,Kindred,4,32,False,10,7,8,73853,12661,16,70,3006,6672
133,Quinn,32,4,False,11,8,10,39278,12998,16,43,3006,6671
40,Janna,32,4,False,4,7,17,61583,11176,16,34,4629,3040
72,Skarner,32,4,False,0,6,13,7303,9578,16,4,3075,3047
39,Irelia,4,32,True,26,10,16,153718,19460,18,149,3153,3143
412,Thresh,32,4,True,6,11,33,29184,12652,18,10,2051,3068
9,Fiddlesticks,32,4,True,5,14,29,41679,12321,17,20,6653,3157
18,Tristana,4,3,True,12,14,20,63837,13137,17,38,6672,3006
266,Aatrox,4,32,True,3,11,27,45856,11907,18,17,6630,3053
67,Vayne,4,1,False,16,8,26,97813,16083,18,78,6673,3140
360,Samira,4,1,False,9,12,25,64866,12883,17,53,3031,6673
84,Akali,4,14,False,14,13,17,54055,13345,18,24,3135,3157
8,Vladimir,6,4,False,11,8,33,72490,14346,18,37,2421,3152
82,Mordekaiser,4,32,False,10,11,25,46406,13272,17,23,4633,8001
114,Fiora,12,4,True,3,1,1,45524,5997,12,123,6630,0
84,Akali,14,12,True,7,0,0,69478,7991,12,140,3152,2031
412,Thresh,14,4,True,1,5,10,10975,4307,8,19,3158,3067
222,Jinx,4,7,True,5,4,4,51317,7222,9,113,2003,0
32,Amumu,11,4,True,2,1,7,80205,6289,10,14,3068,2031
234,Viego,4,11,False,0,6,4,69195,4941,9,5,3111,6632
58,Renekton,4,12,False,1,2,2,65260,5709,10,128,3047,6630
429,Kalista,4,7,False,3,4,3,45193,5585,9,109,2031,6673
517,Sylas,4,12,False,5,4,0,39781,5996,9,92,3158,6656
59,JarvanIV,14,4,False,2,2,7,9519,4495,7,1,3851,3067
236,Lucian,4,7,True,3,4,10,127359,11241,14,180,6671,3035
517,Sylas,4,12,True,10,2,8,146485,13628,16,201,4629,6656
62,MonkeyKing,12,14,True,2,4,7,87222,9597,15,158,1055,6632
234,Viego,4,11,True,10,3,8,191805,13979,16,42,6333,1029
875,Sett,14,4,True,6,3,8,29290,8837,13,59,3009,8001
498,Xayah,4,1,False,6,6,4,137241,12033,14,200,6671,3031
104,Graves,4,11,False,0,6,5,121816,7494,13,42,6692,1001
497,Rakan,14,4,False,4,5,8,19702,7382,11,39,3158,3860
112,Viktor,4,12,False,4,8,4,104345,9344,14,180,3157,3070
58,Renekton,4,12,False,2,6,4,133343,9943,15,214,1036,3123
64,LeeSin,11,4,False,10,3,2,107684,10291,13,8,6630,2055
4,TwistedFate,12,4,False,3,3,4,98643,8972,13,159,2424,2033
39,Irelia,4,12,False,5,6,4,122332,9943,13,185,3044,1028
59,JarvanIV,14,4,False,1,4,10,27796,6314,10,33,3047,3860
236,Lucian,4,7,False,3,6,6,97784,9763,12,183,1037,0
85,Kennen,4,12,True,6,3,4,132053,12412,15,184,3157,3152
412,Thresh,14,4,True,2,4,10,16580,7279,12,34,3076,1028
523,Aphelios,4,7,True,5,4,6,120086,10968,13,209,3006,0
203,Kindred,11,4,True,3,3,7,136803,8922,14,17,3047,6672
112,Viktor,4,12,True,6,8,6,114412,10299,14,161,1058,6653
22,Ashe,4,7,False,3,8,4,62099,8489,12,125,6673,3091
432,Bard,3,4,False,1,7,4,23555,6370,11,53,3860,3190
36,DrMundo,4,12,False,4,3,8,174323,12728,15,219,3068,8001
59,JarvanIV,4,11,False,6,8,7,128916,10648,13,19,3047,3053
4,TwistedFate,12,4,False,3,10,5,138322,11704,14,191,2055,6656
523,Aphelios,4,1,True,13,3,6,230341,16481,16,258,6673,3036
14,Sion,4,12,True,8,4,14,109201,11167,15,135,3109,3068
56,Nocturne,4,11,True,4,2,14,175963,11269,16,22,6631,3053
412,Thresh,4,14,True,0,4,22,19365,7794,13,41,3857,3222
105,Fizz,4,14,True,11,4,11,110875,13188,15,158,3135,3157
147,Seraphine,13,4,True,12,9,34,137333,20240,18,105,6653,3102
432,Bard,32,4,True,6,13,20,39864,16031,18,11,4636,3100
