champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
115,Ziggs,4,12,True,3,1,9,138920,10638,14,185,1056,3020
432,Bard,4,3,True,2,3,13,14825,7645,13,26,3853,8001
24,Jax,4,12,True,2,1,7,66891,8424,14,121,6632,3047
245,Ekko,11,4,True,7,2,4,176293,11395,15,34,3152,3100
126,Jayce,12,4,True,9,2,7,130321,11483,15,174,6692,6695
13,Ryze,4,12,False,1,5,2,115612,7855,12,175,3070,3158
64,LeeSin,4,11,False,3,7,1,93611,7331,12,14,3111,0
23,Tryndamere,6,4,False,3,4,0,99546,8419,13,163,1054,6672
117,Lulu,4,14,False,1,3,3,11977,5481,9,16,3853,2065
18,Tristana,12,4,False,1,4,1,88725,7415,12,175,6672,2031
234,Viego,4,11,False,2,9,5,109094,8010,12,29,0,1043
119,Draven,7,4,False,11,8,4,114460,13657,11,153,1055,6673
79,Gragas,12,4,False,1,8,7,63601,6646,12,119,6656,2055
91,Talon,14,4,False,7,7,6,78526,8627,12,135,3158,6630
48,Trundle,14,4,False,0,6,14,23283,6388,10,41,2055,3857
127,Lissandra,4,12,True,3,4,17,118492,10921,14,176,2033,3157
523,Aphelios,7,4,True,1,6,18,69582,8350,12,111,1055,2031
150,Gnar,4,12,True,11,1,11,144561,12612,14,173,6632,1028
107,Rengar,11,4,True,21,5,5,135842,14329,14,24,6695,6631
117,Lulu,4,14,True,2,5,25,20252,7428,11,9,3853,2065
555,Pyke,14,4,True,10,2,3,37900,10954,12,91,3133,3142
104,Graves,12,4,True,0,3,5,128407,9121,13,166,2031,3134
69,Cassiopeia,4,12,True,10,4,9,104098,12323,13,182,6653,3116
43,Karma,4,3,True,7,1,16,32002,9240,11,23,0,2065
35,Shaco,11,14,True,6,1,10,111357,9879,13,14,3158,6653
85,Kennen,12,4,False,4,3,1,98393,9523,14,192,4629,3152
236,Lucian,4,14,False,4,12,2,46514,6813,10,72,3133,2031
360,Samira,4,7,False,1,5,1,53492,6655,11,141,1055,6673
245,Ekko,4,11,False,1,7,1,93668,6443,10,16,3108,2031
412,Thresh,14,4,False,1,6,8,13775,6151,10,23,2055,3190
150,Gnar,12,4,False,3,3,9,152659,12049,16,200,3047,6632
13,Ryze,1,4,False,8,3,4,329556,16628,18,277,6656,3157
201,Braum,14,4,False,1,11,13,23089,8658,13,41,8001,3190
22,Ashe,7,4,False,6,5,5,204634,15244,16,272,6673,3026
20,Nunu,11,4,False,0,7,11,142869,9223,15,19,2055,2421
127,Lissandra,4,14,True,8,6,19,218338,16568,17,243,3135,3152
111,Nautilus,4,14,True,2,3,17,34533,9349,14,34,3111,3860
234,Viego,4,11,True,10,1,12,288009,17233,18,62,3143,3111
6,Urgot,4,12,True,8,3,10,146254,14821,16,196,6662,3071
101,Xerath,4,7,True,1,5,16,175731,12980,16,243,3165,1082
234,Viego,4,11,True,21,1,3,208373,18342,17,56,3143,3091
202,Jhin,4,7,True,3,4,11,170212,11493,15,212,6671,3111
876,Lillia,4,12,True,4,8,6,152819,11346,15,187,3102,3157
246,Qiyana,14,4,True,5,3,11,106315,10974,15,158,3158,1036
432,Bard,3,4,True,0,3,17,26837,8022,13,27,3190,3853
55,Katarina,14,4,False,4,6,5,110918,10155,15,194,3135,3108
103,Ahri,4,3,False,1,5,9,30026,6767,12,25,3853,6656
9,Fiddlesticks,4,11,False,5,8,3,137521,9720,13,26,3157,1052
15,Sivir,4,7,False,4,5,4,117278,10500,13,186,1055,6672
236,Lucian,12,4,False,5,9,1,127675,10667,15,198,6692,6694
64,LeeSin,11,4,False,4,5,3,62155,7401,10,3,6630,2031
350,Yuumi,3,14,False,2,6,4,11246,5506,10,13,6617,3853
114,Fiora,12,4,False,4,4,3,63284,7266,12,124,1054,6630
81,Ezreal,4,7,False,1,11,1,60055,6344,11,105,3078,3070
4,TwistedFate,1,4,False,3,11,4,84653,7789,12,137,3102,2033
80,Pantheon,14,4,True,6,6,17,32305,7945,11,24,3117,3857
234,Viego,4,11,True,13,0,7,132234,12136,13,38,0,1037
1,Annie,4,14,True,6,3,15,87350,10418,13,160,1026,6653
50,Swain,4,7,True,11,1,7,104397,11736,13,163,1056,3020
150,Gnar,12,4,True,1,4,9,78401,7646,12,101,3123,6632
13,Ryze,4,12,True,2,2,9,173785,10789,15,219,3158,2033
126,Jayce,4,12,True,6,6,15,133114,10486,14,176,6692,3042
37,Sona,4,7,True,4,3,20,27541,8797,13,41,3853,3158
147,Seraphine,3,4,True,4,4,15,59090,8410,12,77,3158,3853
141,Kayn,4,11,True,17,0,10,186838,14829,15,65,3053,3074
7,Leblanc,4,12,False,3,4,0,85081,9085,14,166,2033,2055
58,Renekton,4,12,False,2,7,4,153420,10996,14,212,0,6630
64,LeeSin,4,11,False,4,8,1,113325,8018,12,9,2031,0
412,Thresh,4,14,False,1,7,4,20365,5662,9,24,3857,2065
523,Aphelios,7,4,False,5,7,2,115656,10895,13,182,6673,6676
164,Camille,12,14,False,3,10,2,245693,16194,18,281,3181,2421
110,Varus,4,7,False,7,7,6,228581,16627,17,276,3158,6695
203,Kindred,4,11,False,3,7,6,240612,13708,16,60,2055,3091
103,Ahri,4,14,False,4,3,9,182313,14127,17,241,4629,6656
89,Leona,4,14,False,0,11,10,20141,8231,13,41,3857,8001
523,Aphelios,4,1,True,16,3,6,388304,21969,18,275,6673,6676
54,Malphite,4,12,True,4,3,17,169106,14453,18,204,3143,3157
412,Thresh,14,4,True,1,4,26,19499,10209,16,32,3158,0
5,XinZhao,11,4,True,14,3,9,193379,15550,17,68,6630,3053
61,Orianna,4,1,True,3,4,13,231169,14617,18,287,6653,3157
7,Leblanc,4,12,True,7,1,9,93649,11616,15,178,1058,6656
18,Tristana,4,1,True,14,3,10,188008,15009,14,229,3006,3046
76,Nidalee,11,4,True,6,3,11,128302,10435,15,15,3157,3916
875,Sett,4,12,True,4,1,7,96735,9800,14,163,3053,0
111,Nautilus,14,4,True,4,6,15,22074,7787,12,31,3190,8001
876,Lillia,12,4,False,4,6,2,112695,9178,14,180,2033,1026
81,Ezreal,4,7,False,2,9,5,96604,8240,12,133,3158,6632
69,Cassiopeia,12,4,False,1,3,6,106387,8500,14,198,3070,6653
64,LeeSin,4,11,False,7,11,4,95834,9377,12,16,2421,2055
26,Zilean,4,3,False,0,6,11,14604,5814,12,14,3853,3190
64,LeeSin,4,11,False,2,5,4,67688,5298,10,12,3044,0
412,Thresh,4,14,False,1,4,2,13893,3770,7,23,0,3855
114,Fiora,4,12,False,2,3,0,42246,5078,10,88,6630,1036
523,Aphelios,7,4,False,0,2,0,47013,5674,9,132,2003,2055
517,Sylas,4,14,False,4,6,2,35250,6015,10,98,3158,3191
111,Nautilus,14,4,True,2,1,7,12286,4324,7,24,3105,0
59,JarvanIV,12,4,True,4,2,2,80471,6908,12,142,2033,6630
555,Pyke,14,4,True,3,5,6,26409,8200,9,77,2031,6691
50,Swain,4,7,True,5,0,4,55737,7720,10,134,1056,6653
28,Evelynn,4,11,True,6,1,4,70305,6618,10,12,3020,2031
523,Aphelios,4,7,False,13,4,9,179498,16587,15,225,6673,3086
103,Ahri,4,12,False,2,3,7,116777,9919,15,191,4628,6656
39,Irelia,4,12,False,4,9,4,78128,10162,12,151,3111,6630
203,Kindred,4,11,False,5,12,6,130150,9533,13,16,3006,6676
412,Thresh,4,14,False,2,7,17,17597,7646,12,25,3190,3857
875,Sett,4,14,True,2,12,12,29243,7557,11,38,3857,2055
115,Ziggs,4,12,True,0,3,12,161719,11201,15,227,4630,3157
555,Pyke,14,4,True,16,3,6,51992,16200,13,79,3158,3142
76,Nidalee,11,4,True,8,3,15,184074,14440,15,32,3157,1058
126,Jayce,4,12,True,9,5,12,157695,14968,15,200,3158,3142
517,Sylas,4,12,False,8,6,5,109997,11957,15,158,3157,1052
43,Karma,4,14,False,3,7,11,33396,6960,12,18,2055,3853
64,LeeSin,4,11,False,7,3,7,128676,10198,13,18,2421,2055
516,Ornn,4,12,False,2,5,10,88556,8513,14,157,1054,3158
81,Ezreal,4,7,False,5,7,6,95497,9280,12,145,1055,3042
39,Irelia,12,4,True,9,4,4,172723,13968,16,234,1037,6632
85,Kennen,12,4,True,3,7,4,103911,10281,14,191,3157,3152
245,Ekko,4,11,True,6,6,8,135370,10567,14,32,3152,2421
111,Nautilus,14,4,True,1,4,15,21639,7580,12,32,2055,3190
119,Draven,4,7,True,9,4,7,182396,15029,14,199,6691,3036
37,Sona,4,7,True,0,2,8,11056,5328,9,9,3158,3070
104,Graves,4,12,True,1,3,3,110551,8728,13,168,2055,6692
523,Aphelios,4,1,True,5,1,3,100498,10062,12,158,6673,3086
