champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
78,Poppy,12,4,False,1,3,1,79217,6940,12,151,2033,3068
121,Khazix,4,11,False,0,7,1,90557,5823,9,12,1037,3047
119,Draven,3,4,False,3,11,2,53185,7631,10,118,1055,6673
4,TwistedFate,12,4,False,1,5,1,102496,7859,13,171,2033,6656
48,Trundle,14,4,False,1,4,2,15114,5045,9,36,3857,3190
92,Riven,4,12,True,9,2,6,88724,10006,14,150,3071,2055
234,Viego,4,11,True,7,1,8,142821,10329,13,31,3111,0
201,Braum,4,14,True,2,1,18,24096,7376,11,34,3190,2055
110,Varus,4,7,True,10,1,6,94155,10511,12,169,1055,6691
134,Syndra,4,12,True,2,1,9,114039,9104,14,169,1058,6655
85,Kennen,14,4,True,8,3,10,217761,16603,18,277,3157,3152
164,Camille,14,12,True,12,2,11,135183,15433,17,197,6632,0
245,Ekko,4,11,True,12,7,12,244312,15246,17,18,2420,3152
360,Samira,4,3,True,2,4,13,128151,11810,15,206,3047,6673
526,Rell,14,4,True,0,8,22,23833,8515,14,41,3860,6664
38,Kassadin,12,4,False,3,7,11,134879,11045,15,193,3020,6656
523,Aphelios,7,4,False,12,5,5,205720,16073,15,270,3139,2420
92,Riven,12,4,False,6,7,6,124577,11838,16,189,3111,3133
412,Thresh,4,3,False,0,6,20,23291,7570,13,36,3158,0
104,Graves,11,4,False,3,9,18,178661,10967,15,31,3111,3155
43,Karma,12,4,False,0,4,1,56123,5603,11,127,3020,6655
523,Aphelios,4,7,False,1,3,0,83381,7416,11,168,2031,6673
62,MonkeyKing,12,14,False,2,5,0,34477,5470,11,76,1055,6632
201,Braum,4,3,False,0,5,1,13364,4054,8,26,1033,3857
5,XinZhao,11,4,False,1,5,1,84123,5688,9,15,2055,2031
412,Thresh,14,4,True,1,0,12,15075,5323,10,26,4642,3857
164,Camille,12,14,True,3,2,9,63317,7521,12,122,1055,3077
13,Ryze,4,12,True,11,1,7,137003,11389,13,171,3040,3020
202,Jhin,7,4,True,3,1,5,66816,7433,11,160,6671,1036
234,Viego,4,11,True,4,0,10,103743,8169,12,13,3047,2055
131,Diana,4,11,False,5,7,3,121690,8828,12,38,3152,2055
104,Graves,14,4,False,0,8,2,77164,6200,12,138,3155,2031
887,Gwen,6,12,False,6,7,2,89411,9312,13,171,4629,0
89,Leona,4,14,False,1,5,8,18032,5474,9,26,3860,3190
110,Varus,7,4,False,2,4,3,88976,7780,11,180,1053,2031
98,Shen,4,14,True,3,4,9,23234,6850,11,28,3857,3190
126,Jayce,12,4,True,8,6,6,107716,10905,13,127,1055,6692
115,Ziggs,12,4,True,5,4,3,160693,11185,14,188,1056,6653
