champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
11,MasterYi,14,11,False,6,13,1,259270,13847,17,29,2055,3006
61,Orianna,3,4,False,6,8,20,167273,16238,18,128,3157,3089
51,Caitlyn,4,7,False,14,12,12,176490,15672,16,168,3036,6671
24,Jax,4,12,False,15,17,4,215251,16272,18,164,2421,6632
90,Malzahar,4,14,False,12,7,7,183989,16729,18,204,3157,3116
75,Nasus,4,11,True,2,12,12,119954,9704,17,32,6632,3158
126,Jayce,4,12,True,29,9,12,339172,26049,18,258,6035,6695
22,Ashe,4,14,True,0,18,20,72317,9986,17,44,3864,3134
8,Vladimir,6,4,True,25,5,8,351790,22476,18,291,3065,3152
498,Xayah,4,7,True,1,10,10,128821,10989,17,173,1055,3006
22,Ashe,7,4,False,8,5,13,155768,13941,14,189,3091,3153
3,Galio,14,4,False,7,7,17,53988,10183,14,36,3860,2065
23,Tryndamere,6,4,False,2,4,5,106313,8805,14,126,6671,6675
10,Kayle,4,12,False,5,8,5,101207,9667,15,127,1056,3115
131,Diana,11,4,False,12,7,10,139467,12523,15,39,3152,3157
14,Sion,4,11,True,1,10,9,126239,8918,14,26,6693,3009
126,Jayce,4,12,True,6,7,6,194712,14759,17,211,3142,6694
40,Janna,4,3,True,1,6,16,23092,8391,13,21,2065,3853
8,Vladimir,12,4,True,17,4,4,203987,17105,17,207,3041,3152
51,Caitlyn,4,7,True,6,7,3,131181,11532,14,160,1055,3006
14,Sion,4,11,True,4,5,6,92651,8678,14,17,3068,1001
164,Camille,4,12,True,18,2,2,167786,15684,16,185,3158,3053
89,Leona,4,14,True,0,6,7,17870,6581,12,33,3190,3860
8,Vladimir,14,4,True,14,5,2,170968,14578,16,199,1082,3152
22,Ashe,4,7,True,1,4,3,74532,7589,11,115,3051,6673
84,Akali,14,4,False,5,8,3,52882,7842,13,85,1054,3047
28,Evelynn,4,11,False,7,7,10,135445,10915,15,24,3100,3020
166,Akshan,1,4,False,5,6,6,77889,8962,12,143,3006,6672
126,Jayce,4,14,False,2,11,3,86893,7593,13,144,1055,3133
48,Trundle,4,14,False,3,5,12,36718,8336,13,49,3857,3111
523,Aphelios,4,7,True,4,9,7,98286,10476,13,169,6676,6673
90,Malzahar,4,12,True,8,5,15,142584,12944,15,181,0,3041
497,Rakan,14,4,True,4,4,18,18538,8440,13,20,3041,6656
121,Khazix,11,4,True,8,6,11,180655,12110,16,43,6630,3111
23,Tryndamere,6,4,True,9,4,5,202394,14622,16,213,1036,6672
3,Galio,14,4,False,3,5,15,41859,8322,13,50,3190,3860
24,Jax,4,12,False,3,7,6,122801,9753,15,179,2033,1055
203,Kindred,7,4,False,11,7,8,125087,13209,14,167,1038,6673
887,Gwen,6,11,False,8,7,7,162793,12048,14,28,3157,3115
7,Leblanc,14,4,False,2,7,13,85227,8879,14,145,6655,2033
526,Rell,4,3,False,1,6,6,14318,4657,9,29,3047,1033
104,Graves,4,11,False,6,6,1,92071,8144,11,34,6692,3179
517,Sylas,4,12,False,2,5,4,34559,6020,11,96,6656,2033
81,Ezreal,7,4,False,2,8,1,48306,5469,10,95,6632,3070
85,Kennen,12,4,False,2,5,2,63745,8169,12,134,3157,3152
164,Camille,14,12,True,3,2,4,55167,6854,12,108,1054,2055
268,Azir,4,12,True,5,4,4,64366,8134,13,145,2031,6655
555,Pyke,14,4,True,6,4,12,25652,12138,11,37,3857,2031
76,Nidalee,11,4,True,2,1,11,98036,7566,12,12,4636,2031
119,Draven,7,4,True,14,2,3,133530,15078,12,155,1055,6676
21,MissFortune,4,7,True,3,1,4,113280,10272,13,153,6672,6676
26,Zilean,4,14,True,1,3,12,24133,7461,13,30,3853,2065
98,Shen,4,14,True,4,3,12,48671,9034,14,94,1054,3107
887,Gwen,6,11,True,13,1,7,237512,15876,16,84,4633,3115
246,Qiyana,4,14,True,9,7,5,94029,10756,14,148,3158,6693
50,Swain,4,3,False,6,9,3,93947,10036,13,146,1056,3165
37,Sona,4,3,False,1,3,3,21705,6007,12,23,3853,3158
56,Nocturne,4,11,False,4,7,2,125319,8539,13,49,3053,6631
113,Sejuani,12,4,False,3,6,4,106707,8239,13,157,3068,8001
81,Ezreal,4,7,False,1,5,3,85303,7679,11,161,1036,0
