champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
875,Sett,12,4,False,5,8,7,112989,10866,15,172,3075,1028
105,Fizz,14,4,False,13,8,8,84224,12998,14,133,3135,3152
497,Rakan,14,4,False,1,12,9,19476,6678,11,19,3111,6656
81,Ezreal,4,1,False,7,6,3,191276,12212,14,233,3158,3035
76,Nidalee,11,4,False,3,7,12,174160,10292,14,33,3157,4630
245,Ekko,11,4,True,6,6,12,175226,12227,15,68,3157,3152
89,Leona,4,14,True,5,6,17,22906,9304,13,35,4643,3860
523,Aphelios,7,4,True,8,6,10,150057,12540,15,164,1055,3006
114,Fiora,12,4,True,16,3,7,181540,17764,17,191,6630,3074
246,Qiyana,14,4,True,6,8,11,85854,10168,13,115,3133,3142
89,Leona,14,4,False,0,6,10,19072,5749,9,27,3075,3047
145,Kaisa,7,4,False,4,8,4,86388,9831,12,169,1055,6671
245,Ekko,4,11,False,7,4,4,156603,10051,13,26,3157,3152
105,Fizz,14,4,False,4,7,4,49034,7278,11,112,2033,3152
777,Yone,4,12,False,6,6,5,105410,9741,14,172,6673,3031
64,LeeSin,11,4,True,1,6,17,118358,8764,14,14,2055,2031
166,Akshan,12,4,True,13,4,7,121148,14317,15,179,3124,6673
497,Rakan,14,4,True,2,6,17,22613,7725,12,12,3158,6656
246,Qiyana,14,4,True,8,2,12,125286,11767,15,151,6630,3035
498,Xayah,1,4,True,7,4,10,124090,11443,14,174,3508,6671
126,Jayce,12,4,True,21,2,7,139778,14227,14,156,2031,3042
235,Senna,4,7,True,4,4,14,65162,8516,12,84,1083,6672
105,Fizz,14,4,True,10,1,7,59089,9421,13,124,2033,3152
497,Rakan,14,4,True,2,3,24,20535,8000,12,17,3158,6656
30,Karthus,11,3,True,2,3,12,153346,9298,14,50,6653,3157
43,Karma,3,4,False,1,7,8,26636,6501,11,20,2065,3853
58,Renekton,12,4,False,1,5,1,65800,6352,12,132,6630,3047
5,XinZhao,11,4,False,4,7,1,111133,7819,11,34,6630,2031
236,Lucian,7,4,False,5,10,5,80642,10597,11,116,6671,1055
238,Zed,14,4,False,2,10,1,77993,7057,12,139,6692,1033
74,Heimerdinger,4,3,True,3,2,8,74975,8282,12,140,3157,2010
121,Khazix,11,4,True,23,3,5,143678,14984,14,23,6691,3142
104,Graves,4,12,True,4,9,3,87437,8276,12,116,6692,6676
99,Lux,7,4,True,3,2,16,21507,7424,11,17,3020,6655
20,Nunu,14,4,True,3,4,13,65939,7882,12,82,1056,6656
164,Camille,12,4,False,6,10,6,50254,7826,12,103,6632,3158
235,Senna,14,4,False,2,9,2,14942,5716,8,15,6632,1042
59,JarvanIV,4,11,False,4,7,5,90592,7693,12,26,6630,2055
236,Lucian,4,3,False,2,5,0,108490,7555,11,158,6671,1036
105,Fizz,14,4,False,6,5,2,74720,8670,13,136,2033,3152
777,Yone,4,12,True,3,6,13,245519,14357,18,218,6673,3033
58,Renekton,4,12,True,3,6,13,177880,12394,16,220,6630,0
110,Varus,4,7,True,9,6,10,150945,13973,14,213,3042,3142
48,Trundle,14,4,True,5,6,18,37979,10208,15,48,3190,3857
76,Nidalee,11,4,True,23,4,7,184976,17191,17,27,3102,3152
157,Yasuo,12,4,False,2,11,5,239216,13451,17,228,6333,1053
429,Kalista,7,4,False,7,9,4,146796,13532,15,189,3091,1038
59,JarvanIV,4,11,False,6,8,15,132840,11618,15,36,6632,1057
89,Leona,4,14,False,0,8,14,23916,7705,13,39,3047,3190
105,Fizz,14,4,False,13,7,5,131069,15643,16,191,3100,3152
56,Nocturne,4,11,False,1,2,4,64859,5007,9,12,6029,2031
39,Irelia,4,12,False,2,5,2,57329,5919,10,121,6630,1057
412,Thresh,3,4,False,1,4,3,9233,3898,7,23,2031,3855
145,Kaisa,4,7,False,2,2,2,33441,5142,8,93,1037,3134
58,Renekton,12,4,False,1,6,1,39943,4403,9,85,1054,1029
89,Leona,4,14,True,1,1,8,11022,4577,8,22,3855,3047
105,Fizz,14,4,True,4,3,2,46499,6822,10,108,2033,3152
119,Draven,4,3,True,4,2,4,72356,9104,10,132,1055,6673
126,Jayce,4,12,True,6,1,3,61964,7608,11,133,3047,6692
59,JarvanIV,4,11,True,4,0,8,73732,6865,10,12,2422,1029
12,Alistar,4,3,True,0,4,9,14476,4284,8,23,3859,3117
39,Irelia,4,12,True,10,2,4,60562,9235,11,124,3053,6630
119,Draven,4,1,True,2,1,4,51529,7995,10,135,1055,1037
126,Jayce,4,12,True,4,2,3,77821,8135,12,135,6692,3158
9,Fiddlesticks,4,11,True,6,0,8,87755,7672,10,14,3020,6653
89,Leona,14,4,False,1,7,6,10477,3811,7,18,3076,3855
58,Renekton,4,12,False,1,6,1,33408,4568,9,78,1037,0
22,Ashe,4,7,False,1,1,3,33077,4880,9,99,6673,1001
131,Diana,4,11,False,5,4,1,73389,6128,9,2,3152,0
55,Katarina,14,4,False,1,4,3,34670,5206,9,96,3115,3020
111,Nautilus,14,4,True,3,5,28,30944,10003,15,43,0,3190
157,Yasuo,4,3,True,12,6,11,221941,16747,17,224,3026,6673
154,Zac,4,11,True,12,3,21,186683,16335,17,36,6662,3065
61,Orianna,4,12,True,6,5,23,168282,15039,18,219,3040,6655
64,LeeSin,4,12,True,17,4,12,148670,15307,17,160,2420,6630
268,Azir,4,12,False,4,10,7,150246,12463,16,221,3089,1082
119,Draven,3,4,False,8,11,7,163660,14474,15,215,3036,3006
89,Leona,14,4,False,3,9,16,22557,8127,14,33,8001,3857
234,Viego,11,4,False,4,10,9,130995,10720,14,18,3047,2055
69,Cassiopeia,4,12,False,4,10,1,141156,11138,16,232,2033,3070
876,Lillia,11,4,True,8,6,11,209021,13202,16,36,3157,0
136,AurelionSol,4,14,True,6,3,11,167280,14000,17,227,3742,3111
12,Alistar,4,14,True,2,2,16,18846,9016,14,33,0,3860
157,Yasuo,4,3,True,4,5,12,189271,14157,16,239,3026,1055
92,Riven,12,4,True,8,4,7,152597,13381,16,170,3133,3026
23,Tryndamere,6,4,False,8,5,3,242241,16492,17,258,6672,3006
523,Aphelios,4,7,False,2,5,5,174838,12413,15,261,3036,6671
201,Braum,4,3,False,2,6,6,22268,7683,13,37,3857,3190
76,Nidalee,4,11,False,1,5,9,125507,9664,13,22,3916,3157
105,Fizz,14,4,False,6,7,5,105514,11156,15,188,3135,3152
54,Malphite,4,12,False,1,6,0,101261,7834,14,175,2033,6662
18,Tristana,4,7,False,4,8,2,102494,10224,12,177,1055,6672
11,MasterYi,11,4,False,8,5,2,181893,11334,14,22,6672,3047
105,Fizz,14,4,False,1,6,7,74119,9418,13,152,2033,3152
223,TahmKench,4,3,False,1,9,5,23362,6335,10,38,3076,8001
111,Nautilus,4,14,True,3,4,16,27592,8406,12,34,2055,3860
157,Yasuo,4,3,True,3,4,7,174146,11855,16,232,2421,2055
92,Riven,12,4,True,8,2,7,175040,13249,16,229,3111,2055
64,LeeSin,11,4,True,16,2,9,163712,13966,15,23,6692,3158
134,Syndra,4,3,True,3,4,18,123986,11695,15,180,3040,1029
