champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
112,Viktor,4,12,True,6,3,6,161581,12538,15,201,3157,2055
121,Khazix,11,4,True,10,4,10,151312,12210,15,8,6691,1036
91,Talon,14,4,True,9,4,6,146668,13755,15,161,6630,6695
412,Thresh,4,14,True,2,2,16,20990,7487,13,30,3111,3857
51,Caitlyn,7,4,True,9,4,10,150054,13598,14,203,0,3036
164,Camille,12,14,False,2,8,4,95498,8159,13,150,1055,3078
236,Lucian,14,4,False,4,6,4,99669,8997,13,167,1055,3006
50,Swain,4,7,False,3,9,9,96563,9419,12,182,1056,6653
427,Ivern,11,4,False,4,3,6,284891,7340,12,9,2055,2065
3,Galio,14,4,False,4,10,9,40181,8282,12,54,2055,3157
104,Graves,4,12,False,3,4,4,50293,5310,10,100,1036,0
19,Warwick,4,21,False,1,4,0,22026,3938,9,65,1055,2031
9,Fiddlesticks,4,11,False,3,3,1,69283,5603,9,11,3145,3020
432,Bard,3,4,False,0,4,6,7237,3633,7,4,0,2031
51,Caitlyn,7,4,False,1,2,3,46997,5379,8,115,2031,3006
86,Garen,12,4,True,3,2,0,54427,6987,11,128,1054,6631
81,Ezreal,4,7,True,3,2,7,54535,6636,9,120,1055,3070
28,Evelynn,11,4,True,5,0,5,63497,6366,9,4,3152,1001
114,Fiora,4,12,True,4,1,0,49310,6653,12,130,6029,2031
37,Sona,4,3,True,1,3,8,11115,4951,8,6,3853,6617
3,Galio,4,12,True,1,5,10,95113,8118,14,142,3157,3152
5,XinZhao,4,11,True,3,4,16,135986,10345,15,17,3053,0
74,Heimerdinger,4,14,True,6,3,15,55433,10424,13,30,3157,3853
126,Jayce,4,12,True,10,7,6,150274,12374,15,182,3123,3035
51,Caitlyn,1,4,True,11,1,13,213309,15797,16,244,2055,3046
89,Leona,4,14,False,1,9,8,19888,6183,11,35,3857,2031
245,Ekko,4,11,False,6,5,6,189906,12067,14,35,3089,3152
39,Irelia,12,4,False,4,6,7,149114,11786,14,204,6630,2420
62,MonkeyKing,4,12,False,7,7,8,94515,11167,15,181,3133,2421
81,Ezreal,4,7,False,2,4,6,116012,9558,14,190,1055,1036
141,Kayn,11,4,False,7,8,4,221031,13254,17,77,6693,0
80,Pantheon,4,14,False,7,5,9,49248,11121,14,52,3857,3179
517,Sylas,12,4,False,1,10,11,107336,10320,16,168,2055,3047
875,Sett,4,12,False,6,8,8,147180,13986,17,190,6631,2055
81,Ezreal,7,4,False,8,3,6,252623,16750,17,276,6694,3074
111,Nautilus,14,4,True,1,6,19,25758,8834,15,39,0,3190
9,Fiddlesticks,11,4,True,9,4,11,194095,14785,16,41,0,3020
202,Jhin,4,1,True,7,4,11,206593,15715,16,205,3094,3031
17,Teemo,4,14,True,10,6,8,173713,14399,17,173,3157,3020
246,Qiyana,14,4,True,7,9,8,192756,14659,17,243,6694,6333
51,Caitlyn,7,4,True,1,2,5,60692,5495,9,118,3134,1001
40,Janna,14,4,True,4,1,10,8609,5655,8,3,6617,0
85,Kennen,4,12,True,3,2,0,57481,7238,11,135,2031,3152
246,Qiyana,14,4,True,16,3,2,76005,9553,11,108,3158,2031
427,Ivern,11,4,True,0,1,14,235620,5997,11,8,3158,2031
166,Akshan,7,4,False,3,3,2,57093,6061,9,101,2031,6672
74,Heimerdinger,4,3,False,1,6,3,13286,4598,7,14,3020,2031
245,Ekko,4,12,False,2,3,2,49131,5043,9,93,3145,2033
164,Camille,12,4,False,3,6,0,32031,5630,9,76,3078,3111
141,Kayn,4,11,False,0,6,2,64480,4476,9,18,6029,1001
103,Ahri,4,14,False,5,6,6,95308,10190,15,164,3916,1026
51,Caitlyn,1,4,False,7,6,2,183628,14185,14,222,1018,6673
432,Bard,4,3,False,0,6,8,9252,6461,12,7,3853,3190
9,Fiddlesticks,11,4,False,4,6,4,162382,9825,15,35,4636,3020
126,Jayce,12,4,False,4,6,5,163568,12291,15,211,6692,6694
202,Jhin,4,7,True,9,1,7,156090,15029,15,208,6671,6676
92,Riven,12,4,True,2,6,6,130167,11160,16,205,3071,3158
89,Leona,14,4,True,3,1,21,20869,9579,14,38,3190,3857
64,LeeSin,4,11,True,13,5,11,175518,14274,16,28,3067,3111
875,Sett,4,12,True,3,7,6,113660,10508,16,168,6631,3001
166,Akshan,3,4,False,6,10,9,176531,12539,15,194,0,6672
245,Ekko,11,4,False,15,7,3,170930,14254,15,50,3916,3157
164,Camille,4,12,False,6,7,3,144912,12050,15,193,1037,3078
236,Lucian,12,4,False,1,7,9,113284,10105,14,160,1036,2033
16,Soraka,7,4,False,1,11,20,14552,8773,13,16,3158,6617
64,LeeSin,4,11,True,9,8,17,167163,13354,15,23,0,6630
523,Aphelios,4,7,True,14,4,16,230472,16748,17,215,6673,3026
518,Neeko,12,4,True,12,3,5,140927,14125,16,188,4636,3916
69,Cassiopeia,4,3,True,5,7,10,154691,12576,16,200,6653,2031
43,Karma,4,14,True,2,7,23,21121,10295,14,21,3853,3011
523,Aphelios,7,4,False,4,7,4,144032,10596,13,197,6673,2055
432,Bard,4,14,False,1,4,13,19287,7022,12,18,2055,3853
43,Karma,3,4,False,2,5,7,98899,8324,13,150,1082,0
64,LeeSin,4,11,False,7,8,7,127717,10909,14,13,2055,6630
85,Kennen,12,4,False,13,5,4,124583,12785,15,179,0,3152
245,Ekko,11,4,True,9,2,7,229541,14198,16,52,3100,2421
