champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
122,Darius,6,4,False,3,8,1,72306,7603,12,141,1037,3047
67,Vayne,4,7,False,2,3,3,67121,8013,12,162,1055,3006
131,Diana,4,11,False,5,6,4,120132,8896,12,39,3115,1026
268,Azir,14,4,False,2,7,4,76750,7405,12,141,1056,3157
111,Nautilus,4,3,False,1,6,7,23589,5363,9,35,1028,3143
64,LeeSin,4,11,True,12,4,13,106522,10461,12,16,2055,2031
238,Zed,4,14,True,8,2,11,85581,10334,14,131,3158,3142
157,Yasuo,4,3,True,4,1,11,102257,9994,12,140,1055,1037
497,Rakan,14,4,True,2,2,20,9228,6730,10,8,2065,2421
54,Malphite,12,4,True,4,4,9,46756,6842,12,103,3068,2033
28,Evelynn,11,4,False,6,7,9,173983,11363,14,19,3152,1026
119,Draven,7,4,False,6,11,9,193739,14284,15,213,3033,1018
58,Renekton,12,4,False,5,10,4,178589,13118,15,228,3053,3077
555,Pyke,14,4,False,5,8,8,23509,10800,12,38,3179,3158
238,Zed,4,14,False,5,4,4,179679,12301,16,223,6692,6609
141,Kayn,4,11,True,17,5,15,251501,17803,18,68,3158,6630
8,Vladimir,4,14,True,3,5,4,156788,11306,16,212,3089,3152
111,Nautilus,4,3,True,1,7,5,30278,7114,13,43,3067,3157
202,Jhin,7,4,True,8,6,20,156783,13673,17,182,6671,2031
223,TahmKench,12,4,True,11,4,14,117622,14578,16,152,6662,3193
12,Alistar,14,4,False,0,5,6,16092,4406,8,24,1011,3860
39,Irelia,4,12,False,2,2,4,69353,7125,11,141,3044,2031
110,Varus,4,7,False,2,7,3,41147,5797,10,107,0,6691
126,Jayce,12,4,False,2,4,2,79886,7742,12,145,3123,3133
245,Ekko,11,4,False,6,3,1,114881,7500,11,12,3020,1052
517,Sylas,12,4,True,5,2,5,70790,8451,12,143,3158,6656
120,Hecarim,6,11,True,4,0,2,104545,7722,12,21,6632,3044
62,MonkeyKing,4,14,True,7,4,4,68790,9067,11,123,1054,6630
114,Fiora,4,12,True,3,3,2,61573,7412,13,136,0,6630
235,Senna,4,7,True,2,3,11,32466,6510,10,17,2031,3863
51,Caitlyn,4,7,False,6,10,10,117961,11413,15,173,1055,6691
60,Elise,4,11,False,9,10,8,120207,11323,15,25,3165,3157
154,Zac,12,4,False,8,2,13,121015,12628,17,164,3075,6662
104,Graves,14,4,False,9,7,6,171579,13552,17,212,6692,3006
412,Thresh,4,3,False,3,8,12,26118,8531,13,32,3190,2055
222,Jinx,7,4,True,14,9,9,233090,15876,16,198,3036,3046
85,Kennen,14,4,True,6,8,13,39565,10219,13,26,3152,3157
5,XinZhao,12,4,True,2,9,8,157513,11981,16,213,1055,3071
875,Sett,4,6,True,8,5,13,155856,14062,17,204,2420,6631
79,Gragas,11,4,True,7,6,14,156681,11981,15,34,4636,3157
107,Rengar,4,11,False,5,13,6,58980,8069,11,40,3047,6630
523,Aphelios,7,4,False,8,11,3,67058,9628,12,112,1055,6673
55,Katarina,14,4,False,4,8,5,84160,8036,13,115,1029,3115
412,Thresh,3,4,False,2,8,14,21261,6242,12,34,3190,3857
54,Malphite,4,12,False,6,11,6,52853,8431,12,55,3068,3047
119,Draven,7,4,True,9,8,8,123604,11699,13,127,3031,3508
80,Pantheon,14,4,True,7,2,5,52197,8584,11,57,6692,3857
517,Sylas,12,4,True,16,5,8,127437,13314,14,154,6655,4629
122,Darius,4,6,True,6,5,2,139998,10944,14,138,3133,3053
64,LeeSin,11,4,True,13,5,10,123059,12230,13,39,3053,6630
7,Leblanc,14,4,False,3,6,1,25515,5317,10,68,2033,2010
64,LeeSin,4,11,False,1,7,4,50650,4674,8,3,6630,2031
202,Jhin,4,7,False,6,6,1,39734,7135,9,81,3009,6671
412,Thresh,14,4,False,1,8,2,9421,3590,7,22,3067,2055
133,Quinn,4,14,False,0,4,3,37905,4493,10,93,1053,1055
89,Leona,14,4,True,5,4,12,16619,6059,9,23,2065,3158
85,Kennen,12,4,True,1,0,1,50195,6682,11,123,3152,2031
