champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
27,Singed,12,6,False,5,5,6,204375,13646,17,242,3110,3116
105,Fizz,14,4,False,4,8,4,152032,13164,16,246,3100,3157
59,JarvanIV,11,4,False,2,6,7,147884,9548,14,24,6630,3075
18,Tristana,7,4,False,7,4,1,201015,14372,15,261,6672,3046
497,Rakan,14,3,False,0,6,9,22749,7566,13,30,3853,2065
28,Evelynn,11,4,True,8,4,12,207028,14720,17,21,1026,3152
498,Xayah,4,7,True,6,4,6,253704,15387,17,312,6671,0
350,Yuumi,14,3,True,3,0,16,10036,9776,15,9,0,3107
6,Urgot,12,4,True,1,5,8,207956,14484,17,238,6694,3748
246,Qiyana,14,4,True,10,5,9,144375,13803,17,188,6630,0
76,Nidalee,4,11,True,7,8,7,152715,11964,15,27,4636,0
107,Rengar,4,12,True,7,8,9,163636,14356,17,182,3157,8001
235,Senna,4,3,True,3,8,16,45401,9881,13,26,6672,3094
18,Tristana,7,4,True,7,8,14,188480,13694,15,197,1038,2421
23,Tryndamere,4,6,True,9,4,9,207603,16100,17,215,6671,3006
78,Poppy,4,12,False,6,8,11,160674,11593,16,184,2033,2055
105,Fizz,14,4,False,9,8,10,172154,13748,16,199,3089,3157
64,LeeSin,4,11,False,12,5,15,133427,13756,15,20,3143,6630
89,Leona,4,14,False,2,7,13,23591,7695,12,38,2055,3860
21,MissFortune,3,4,False,6,5,7,170890,13476,14,222,2421,6676
105,Fizz,14,4,True,3,3,6,97176,8818,13,169,1058,3157
89,Leona,4,3,True,2,2,6,16463,5551,9,35,1028,3190
164,Camille,14,12,True,3,1,3,89644,8886,13,170,6632,2420
67,Vayne,4,7,True,3,3,6,63894,8051,12,127,6673,3046
245,Ekko,4,11,True,11,3,5,124228,10724,13,26,3100,3152
104,Graves,12,4,False,1,6,1,109703,7436,13,179,6673,1055
58,Renekton,4,12,False,1,4,0,79523,6787,12,159,6630,2031
429,Kalista,21,4,False,3,5,6,75541,8619,11,152,1055,3006
111,Nautilus,14,4,False,4,5,4,25318,6365,9,28,3860,3190
79,Gragas,11,4,False,3,2,6,103097,7821,12,17,6656,2055
127,Lissandra,4,12,False,3,8,4,94691,8298,13,149,3157,0
245,Ekko,11,4,False,2,7,5,150782,9035,14,44,0,0
235,Senna,3,4,False,2,7,4,32430,6973,11,18,3864,6692
92,Riven,4,12,False,6,5,3,115525,11974,15,208,0,3142
145,Kaisa,7,4,False,1,4,5,89088,8193,12,171,1055,6672
164,Camille,12,14,True,5,5,9,118728,10421,15,163,1055,3047
202,Jhin,7,4,True,7,3,5,160642,12296,14,226,3094,3036
7,Leblanc,4,12,True,7,2,13,120476,12136,15,170,2033,2421
432,Bard,4,3,True,1,3,18,23201,7526,12,17,3067,3190
64,LeeSin,4,11,True,11,1,13,151108,13156,15,25,2421,6630
113,Sejuani,12,14,False,6,8,6,144390,11096,15,187,1056,3068
111,Nautilus,4,14,False,5,7,11,22377,7829,12,35,2055,3190
154,Zac,11,4,False,6,5,11,127816,10519,14,55,6662,1082
235,Senna,7,4,False,7,4,11,127722,13708,14,195,3036,6672
50,Swain,4,14,False,2,8,8,116562,9259,14,181,3111,6653
432,Bard,4,14,True,2,7,14,20862,8038,13,27,2055,3860
86,Garen,4,14,True,8,5,4,174987,14767,16,201,3078,3036
67,Vayne,1,4,True,10,5,7,126728,13300,15,181,6672,3153
104,Graves,4,11,True,11,2,13,246371,15966,17,89,6673,3031
13,Ryze,4,3,True,1,7,12,138940,10474,15,146,0,3040
201,Braum,4,3,False,0,3,3,13051,4325,9,29,3857,3111
31,Chogath,4,12,False,0,2,1,64636,5562,11,140,3111,6662
523,Aphelios,4,1,False,4,2,0,59887,7578,11,174,6673,2031
107,Rengar,4,11,False,1,5,1,96645,5881,10,29,6630,2031
105,Fizz,14,4,False,2,4,0,48976,6597,11,126,2033,3157
