champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
254,Vi,11,4,True,9,4,13,217383,14070,16,48,1037,0
86,Garen,14,4,True,7,5,7,121864,12133,16,200,6662,3742
103,Ahri,4,14,True,11,2,8,110264,11898,15,144,3041,6656
235,Senna,4,3,True,5,6,17,56464,10098,13,29,3864,6672
523,Aphelios,4,7,True,4,10,16,103093,10319,14,138,6671,2031
432,Bard,14,4,False,1,7,18,19081,7906,13,24,3853,2055
3,Galio,12,4,False,1,11,10,94049,8194,13,142,3020,6656
67,Vayne,12,4,False,5,5,1,98887,10100,15,172,6671,1055
245,Ekko,4,11,False,11,8,7,153223,12969,14,31,3152,3157
51,Caitlyn,4,7,False,9,5,5,126956,11725,14,168,1055,3036
245,Ekko,4,12,False,12,6,4,201433,15473,17,211,3152,4630
164,Camille,14,12,False,5,7,5,212140,15588,17,223,6333,3078
3,Galio,4,14,False,3,10,15,47276,9249,14,48,3860,3190
523,Aphelios,4,7,False,3,10,11,162739,12040,16,191,6673,3036
64,LeeSin,4,11,False,5,10,7,210801,12726,16,32,2055,6630
432,Bard,14,4,True,2,7,28,34982,10039,16,19,3853,2055
48,Trundle,11,4,True,10,5,16,143826,13670,17,31,1028,3053
235,Senna,4,7,True,12,8,18,161644,16657,17,191,3124,6672
517,Sylas,4,12,True,10,1,16,212748,15875,18,232,6656,3157
85,Kennen,12,4,True,9,7,16,138786,14007,17,175,3152,3165
157,Yasuo,14,4,False,7,7,2,123895,12458,14,185,6673,3033
104,Graves,4,11,False,6,8,6,146113,10334,14,55,3006,6671
82,Mordekaiser,14,4,False,1,11,3,55244,6837,12,109,3191,8001
432,Bard,14,4,False,0,9,12,21096,6471,12,31,3860,2055
81,Ezreal,4,7,False,6,4,4,113900,11019,14,152,6632,3042
115,Ziggs,12,4,True,3,6,10,151426,10606,13,186,3108,1052
20,Nunu,14,4,True,3,5,17,82090,8900,13,107,1056,3157
92,Riven,12,4,True,15,4,11,128452,14719,15,158,3142,6630
64,LeeSin,11,4,True,17,3,12,163428,15386,15,49,6630,3026
412,Thresh,14,4,True,1,3,22,18133,7336,12,41,3117,3190
202,Jhin,7,4,False,1,6,1,77451,6854,11,162,2055,6671
30,Karthus,11,4,False,5,6,2,122791,8663,12,46,3157,0
39,Irelia,12,4,False,0,5,2,104321,8701,13,198,3044,6630
78,Poppy,12,4,False,1,8,3,69472,6643,12,130,2033,6632
89,Leona,4,14,False,0,5,2,15540,4366,10,36,2031,3860
141,Kayn,4,11,True,8,1,8,194321,11569,14,46,6630,2031
16,Soraka,4,21,True,4,0,13,53874,8035,13,130,6617,6616
164,Camille,14,12,True,4,5,4,79541,7837,13,131,3133,3111
81,Ezreal,7,4,True,10,0,6,110974,11057,13,179,0,6632
432,Bard,14,4,True,4,1,16,15857,7303,12,19,3853,0
43,Karma,4,14,False,0,6,7,35307,6344,10,36,3853,3158
11,MasterYi,11,14,False,9,4,4,155051,11780,14,31,6672,3047
240,Kled,12,4,False,5,6,6,95082,9043,12,136,3748,3068
13,Ryze,12,4,False,1,3,2,142044,8956,13,167,3110,6656
222,Jinx,1,4,False,1,7,3,56453,6340,10,114,6671,2031
81,Ezreal,7,4,True,15,1,5,129563,15576,14,184,3042,3047
432,Bard,14,4,True,3,4,15,20315,7518,12,34,3860,1011
121,Khazix,11,4,True,4,3,7,126402,8753,13,10,6691,3035
245,Ekko,4,12,True,2,2,7,113247,9136,14,190,3152,2055
113,Sejuani,12,4,True,1,6,11,69165,7601,13,127,2055,3047
412,Thresh,4,3,False,2,7,24,11835,7556,12,4,2051,3067
43,Karma,4,3,False,7,6,16,30733,8588,13,29,1026,3157
432,Bard,32,4,False,3,6,23,24703,8038,13,22,6655,3020
55,Katarina,32,4,False,10,8,16,38210,9665,13,29,2031,3111
133,Quinn,4,32,False,12,9,12,34570,10903,13,38,6672,3006
96,KogMaw,4,1,True,11,6,16,42856,10418,14,44,2031,3111
32,Amumu,4,32,True,6,10,14,19130,9216,13,12,3112,4636
114,Fiora,4,32,True,9,7,15,25199,9820,13,21,6630,2031
69,Cassiopeia,6,4,True,7,6,16,43661,9677,14,36,3112,6653
141,Kayn,32,4,True,3,5,19,33421,9014,13,29,3111,6630
30,Karthus,32,4,False,7,11,28,105890,13383,18,76,3040,3112
114,Fiora,4,32,False,17,12,16,66891,15288,18,45,3074,6630
78,Poppy,4,32,False,3,8,22,27491,11545,17,17,2051,3143
412,Thresh,32,4,False,4,10,28,22193,11594,17,10,2051,3047
22,Ashe,1,4,False,14,10,21,122241,15833,18,92,3184,3006
360,Samira,4,7,True,21,9,18,84745,16779,18,63,3072,6673
10,Kayle,6,4,True,12,9,26,81784,15432,18,66,3115,3124
106,Volibear,32,4,True,6,10,29,45699,12809,18,28,3083,3067
96,KogMaw,4,21,True,9,9,26,68954,13791,18,53,3006,6672
89,Leona,4,21,True,3,8,29,21442,11730,18,19,3001,3068
157,Yasuo,4,14,False,12,17,26,91204,15128,18,52,6673,3033
266,Aatrox,4,14,False,17,13,25,88022,17973,18,63,6630,3111
58,Renekton,4,32,False,12,14,29,82124,16362,18,53,6630,3053
134,Syndra,4,21,False,2,15,16,39440,12008,17,32,3040,6655
876,Lillia,32,4,False,15,14,27,112141,16272,18,55,6653,4637
31,Chogath,4,32,True,13,13,28,81765,15471,18,56,3112,3152
56,Nocturne,4,6,True,22,12,29,93317,17305,18,49,6630,3748
350,Yuumi,7,14,True,2,10,56,29159,13488,18,6,6617,6616
245,Ekko,32,4,True,27,11,25,171117,20043,18,82,4636,3020
161,Velkoz,6,4,True,9,12,35,102887,14878,18,75,3112,6655
18,Tristana,4,7,False,5,7,3,219156,13575,16,239,1031,2421
245,Ekko,11,4,False,9,8,10,220865,15480,17,71,3152,3165
246,Qiyana,14,4,False,4,8,6,168981,12366,15,204,3142,3042
23,Tryndamere,4,6,False,10,8,4,259816,18014,18,246,3031,3006
432,Bard,14,4,False,2,6,13,29107,9045,13,48,3860,2055
350,Yuumi,14,3,True,2,3,20,10589,8655,15,4,3853,6617
517,Sylas,4,14,True,14,6,9,218555,16469,18,232,6656,3157
92,Riven,14,4,True,7,11,7,236174,15880,18,243,6630,3053
154,Zac,4,11,True,7,4,20,208572,14562,17,55,3158,3143
202,Jhin,4,7,True,7,6,16,191164,13932,17,233,3026,2055
18,Tristana,4,1,True,7,1,1,78891,9834,11,155,3006,6671
432,Bard,14,4,True,4,2,7,23453,6809,11,33,3860,2055
164,Camille,14,12,True,4,3,0,81156,8209,13,171,1055,0
777,Yone,4,12,True,1,1,4,111397,8196,13,181,3033,1054
9,Fiddlesticks,4,11,True,3,1,10,106809,8494,12,11,2031,3157
104,Graves,11,4,False,4,3,1,104606,7296,11,6,6692,2031
