champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
497,Rakan,14,4,True,1,0,12,14409,5777,10,10,3158,6656
18,Tristana,4,7,True,5,2,5,109014,9437,12,165,3006,6671
147,Seraphine,12,4,True,5,2,7,81572,7830,11,126,3070,6653
59,JarvanIV,11,4,True,4,0,10,97351,8363,11,31,2422,6630
164,Camille,14,12,True,6,0,3,107637,10870,13,164,1054,3078
64,LeeSin,4,12,False,1,3,1,51940,5759,11,132,6630,2031
67,Vayne,4,12,False,0,6,0,37847,4666,9,81,1083,2055
50,Swain,4,7,False,3,6,1,60177,6657,9,116,1056,6653
101,Xerath,3,4,False,0,5,4,17638,4500,8,22,3802,1082
427,Ivern,11,4,False,0,1,1,256386,5099,10,28,3158,6617
147,Seraphine,4,3,False,1,3,4,27822,5479,10,43,3158,6617
22,Ashe,4,7,False,0,6,0,51817,5613,10,123,2031,6673
246,Qiyana,14,4,False,1,9,1,63014,5712,10,108,6029,2031
164,Camille,14,12,False,2,3,3,71728,7638,13,155,1054,1028
30,Karthus,11,4,False,6,7,1,121683,8643,12,30,6653,1058
236,Lucian,1,4,True,11,2,5,118305,11916,13,199,6671,0
412,Thresh,4,14,True,3,1,14,15461,6517,11,27,3857,3190
114,Fiora,12,4,True,5,4,0,96281,9155,13,178,6630,2031
90,Malzahar,4,12,True,2,3,7,91964,7839,13,154,2031,1011
76,Nidalee,4,11,True,7,0,8,120299,8549,12,15,1082,3157
64,LeeSin,4,11,True,1,0,2,38869,4066,7,25,6029,2031
875,Sett,4,14,True,2,2,2,50530,5987,8,87,6630,2003
497,Rakan,14,4,True,0,1,1,6209,2735,5,2,3850,0
67,Vayne,4,7,True,1,0,0,17985,3332,6,45,1055,1053
517,Sylas,14,4,True,3,0,1,27376,4336,7,63,1056,3802
80,Pantheon,14,4,False,2,1,0,4742,2876,5,10,3067,3067
516,Ornn,4,12,False,0,4,2,25681,2892,7,51,1054,2031
245,Ekko,11,4,False,1,1,1,25065,2707,6,4,3145,1028
2,Olaf,4,21,False,0,1,1,7426,1832,4,12,2033,1055
50,Swain,12,4,False,0,0,2,10724,2563,5,41,1056,3802
202,Jhin,4,7,True,12,5,13,188221,15361,16,199,6671,1018
59,JarvanIV,4,12,True,15,5,13,145889,16157,17,186,6693,2421
101,Xerath,12,4,True,1,5,20,117258,10744,16,164,1056,3040
2,Olaf,4,11,True,14,9,12,197544,16558,16,51,3053,6630
89,Leona,14,4,True,1,8,18,18230,8357,14,42,3190,3860
