champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
89,Leona,14,4,False,3,8,10,20609,6760,10,38,2421,3857
145,Kaisa,4,7,False,6,5,6,108193,10652,12,176,1055,6672
78,Poppy,12,4,False,3,6,5,108569,9548,13,153,6632,2033
131,Diana,14,4,False,0,8,6,77777,6527,11,132,4636,1082
107,Rengar,11,4,False,6,9,4,90921,8015,11,20,3123,6029
81,Ezreal,7,4,True,11,4,8,131644,12576,13,158,1055,6694
91,Talon,14,4,True,6,1,8,100426,10663,13,140,6630,3071
201,Braum,4,3,True,0,7,25,17908,7356,12,22,3190,3857
517,Sylas,12,4,True,11,4,9,91153,11367,14,139,3041,2421
32,Amumu,11,4,True,8,3,12,144431,12014,14,45,3143,3068
131,Diana,4,11,False,7,3,7,157777,10984,14,28,1082,3157
91,Talon,14,4,False,6,9,6,90732,10196,13,160,6630,3142
45,Veigar,12,4,False,3,7,2,84019,7667,12,144,1056,6656
234,Viego,14,4,False,3,7,11,27397,8475,12,38,2055,3857
23,Tryndamere,4,6,False,0,9,4,109033,8101,13,163,1054,6672
78,Poppy,12,4,True,5,7,7,89155,9087,14,140,2033,6632
432,Bard,14,4,True,2,5,16,16755,7678,12,15,3190,8001
4,TwistedFate,14,4,True,5,1,11,121353,11587,15,166,3157,6656
523,Aphelios,4,3,True,7,1,6,138062,12059,15,187,6673,2421
104,Graves,4,11,True,16,5,10,187225,14261,15,33,3095,3111
89,Leona,14,4,False,1,4,4,14670,4186,7,27,3855,3110
523,Aphelios,1,4,False,2,5,2,42833,5019,8,83,6673,0
141,Kayn,4,11,False,0,5,2,72154,4574,9,19,0,6630
26,Zilean,4,12,False,0,1,1,60774,5009,11,127,6656,2031
75,Nasus,6,12,False,3,5,0,31545,6042,9,78,1054,2031
64,LeeSin,11,4,True,5,0,10,73901,7474,10,11,3009,6630
4,TwistedFate,1,4,True,6,1,4,51517,7844,11,90,2033,3191
117,Lulu,4,14,True,1,2,10,14695,6297,9,16,3853,2065
222,Jinx,1,4,True,7,1,7,106418,10073,11,150,1055,3006
107,Rengar,14,12,True,1,2,2,73823,6581,11,122,3508,3134
59,JarvanIV,4,11,True,6,2,6,117527,10134,13,19,3053,6630
432,Bard,4,3,True,3,2,10,27019,7608,11,19,3067,3190
22,Ashe,1,4,True,3,2,10,82596,8982,13,159,6673,2031
85,Kennen,12,4,True,2,6,4,62131,7447,13,112,3152,2420
157,Yasuo,4,1,True,7,2,3,141360,10920,14,174,6673,3031
110,Varus,4,7,False,2,4,3,81478,8875,11,150,1055,2422
497,Rakan,14,4,False,1,6,5,18866,5522,10,35,2065,3860
164,Camille,12,4,False,6,3,3,88398,9809,14,159,3047,6632
127,Lissandra,12,4,False,2,6,4,90204,7893,12,173,1056,6656
64,LeeSin,4,11,False,3,2,4,116062,7949,12,18,3047,6630
81,Ezreal,3,4,True,20,0,6,130567,14969,13,158,3042,3078
57,Maokai,12,4,True,1,4,15,56821,6827,12,109,8001,3076
13,Ryze,4,12,True,4,3,5,126910,9419,14,179,6656,3157
555,Pyke,4,14,True,1,3,17,20299,7876,11,30,3855,6691
5,XinZhao,4,11,True,9,1,16,120026,11040,13,38,6630,3047
875,Sett,4,14,False,3,12,3,30051,5870,10,37,0,6664
107,Rengar,11,4,False,3,6,4,111939,7731,11,13,1036,6029
238,Zed,4,14,False,1,6,3,84680,6538,12,150,3142,2031
235,Senna,7,4,False,1,8,4,42214,6066,10,102,1055,6672
85,Kennen,4,12,False,3,3,2,102001,8548,13,185,3157,3152
523,Aphelios,7,4,True,5,3,5,109741,10130,13,168,1055,6673
412,Thresh,4,14,True,0,2,8,14204,5944,11,31,3857,3190
875,Sett,12,4,True,7,1,3,161954,13005,15,190,3053,3047
79,Gragas,4,11,True,4,1,8,132418,9434,13,29,3020,2421
127,Lissandra,4,14,True,6,2,5,147916,11763,14,191,3089,3152
69,Cassiopeia,4,1,False,2,5,1,82305,7962,13,179,3070,4629
31,Chogath,12,4,False,0,6,1,87496,6302,12,123,1054,1033
236,Lucian,4,1,False,2,3,2,144870,9341,13,216,6672,3057
43,Karma,14,4,False,0,4,7,16717,6223,10,12,3853,2065
11,MasterYi,4,11,False,5,4,1,136038,9966,13,39,6676,1036
53,Blitzcrank,14,4,False,1,8,10,13392,5294,11,28,3859,3117
240,Kled,12,4,False,5,5,4,92845,9541,13,154,3748,6662
429,Kalista,4,3,False,2,10,4,62984,7588,11,146,6673,3047
101,Xerath,4,21,False,3,4,5,79826,7505,12,140,3020,6655
20,Nunu,11,4,False,7,8,8,123392,10482,12,30,3157,3152
119,Draven,3,4,True,11,5,4,156789,13908,14,170,1055,6673
26,Zilean,4,14,True,1,4,22,24573,7435,12,21,3041,2065
55,Katarina,14,12,True,11,2,8,89117,11360,13,149,6632,3115
107,Rengar,11,4,True,10,3,12,170477,12438,15,29,3814,6029
19,Warwick,21,4,True,2,5,5,63693,8017,13,138,1054,3047
267,Nami,4,14,True,2,4,10,10341,5971,9,17,0,0
58,Renekton,4,12,True,8,1,2,104228,10652,14,160,1054,3047
32,Amumu,11,4,True,5,3,7,105223,8517,12,16,3047,2031
61,Orianna,4,12,True,5,2,7,72708,8426,13,153,2033,3157
222,Jinx,7,4,True,5,2,8,104332,9906,12,152,3085,6671
64,LeeSin,11,4,False,2,2,2,136834,7918,12,36,2055,1036
69,Cassiopeia,4,12,False,3,3,1,81028,7964,12,170,6653,2031
166,Akshan,4,12,False,3,9,1,78643,6903,11,130,6671,1001
432,Bard,4,3,False,1,6,4,5940,5010,9,6,0,3111
5,XinZhao,14,4,False,3,5,2,62414,6992,12,114,6630,1028
69,Cassiopeia,4,12,True,5,4,4,90692,9751,14,189,6653,1011
412,Thresh,4,3,True,1,1,17,16945,7439,12,31,3857,3190
23,Tryndamere,6,4,True,3,4,3,72592,8060,13,109,1054,6672
523,Aphelios,4,7,True,10,2,7,127656,12833,13,168,3031,6676
234,Viego,11,4,True,7,1,4,127579,10531,14,38,3047,2031
62,MonkeyKing,4,12,False,3,6,4,62406,8491,12,151,1054,3044
121,Khazix,11,4,False,6,3,1,117794,8305,12,15,2422,2031
85,Kennen,14,4,False,1,8,3,34998,6101,10,37,3853,3145
498,Xayah,7,4,False,1,5,3,84656,7292,12,155,1055,6671
777,Yone,4,12,False,1,4,5,85405,8146,13,137,2055,1018
555,Pyke,14,4,False,8,5,10,32835,13410,14,48,3142,3009
119,Draven,3,4,False,9,5,9,201650,15866,15,231,0,3036
9,Fiddlesticks,11,4,False,3,5,12,137151,9543,13,31,4636,3020
24,Jax,4,12,False,3,6,5,98704,9220,13,158,1055,3078
517,Sylas,14,4,False,3,6,6,69384,8110,13,119,3157,6656
887,Gwen,14,12,True,8,6,6,144467,14053,16,182,4633,3108
59,JarvanIV,4,11,True,2,9,11,88958,8887,13,16,3111,8001
48,Trundle,4,14,True,0,6,15,25532,7564,13,46,3076,3190
18,Tristana,7,4,True,10,1,5,186448,14936,15,182,6672,2421
61,Orianna,4,12,True,7,4,8,158291,13310,16,216,1058,3020
