champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
887,Gwen,12,4,False,4,7,8,85030,9094,14,116,3115,3047
202,Jhin,4,7,False,3,7,9,113364,9686,14,191,6676,6671
432,Bard,4,14,False,3,10,4,18240,6803,11,14,3853,2031
234,Viego,11,4,False,4,8,6,106109,8416,13,25,6632,3091
142,Zoe,14,4,False,8,4,7,104648,11665,15,144,3102,6655
48,Trundle,4,14,True,9,6,1,148938,13790,16,177,3158,3181
67,Vayne,7,4,True,4,5,10,96155,10174,13,144,2031,6673
267,Nami,4,14,True,2,3,17,29700,8306,13,7,3853,2065
76,Nidalee,11,4,True,8,4,7,185487,12064,15,32,3157,4636
105,Fizz,4,14,True,13,4,5,121520,13465,15,147,3100,3157
25,Morgana,4,14,False,1,4,5,13269,4717,9,12,3020,3851
203,Kindred,11,4,False,1,7,3,55530,5159,9,8,1037,2031
236,Lucian,7,4,False,4,3,2,66294,6846,10,125,3006,6671
246,Qiyana,14,4,False,1,6,1,54555,5987,11,111,6693,2031
41,Gangplank,4,12,False,4,3,1,76929,7702,13,137,3508,2033
875,Sett,4,14,True,4,5,5,78300,8559,11,122,6630,3047
145,Kaisa,7,4,True,1,3,4,70456,7752,10,121,2031,6672
99,Lux,4,14,True,4,2,5,24393,6606,9,3,3853,2423
245,Ekko,11,4,True,8,0,4,192370,10527,15,27,3152,3100
105,Fizz,4,14,True,6,1,3,59523,8454,12,119,2033,3157
48,Trundle,4,14,False,2,13,3,104720,8933,13,158,1055,3047
117,Lulu,14,4,False,3,9,9,22240,7419,12,15,3853,0
4,TwistedFate,12,4,False,2,9,5,104974,8567,13,144,3157,6656
245,Ekko,4,11,False,6,8,6,134207,10485,13,43,3020,3152
67,Vayne,4,7,False,7,11,5,113024,10698,13,190,1036,6672
29,Twitch,4,1,True,22,2,8,137194,16255,16,150,1055,3085
122,Darius,6,4,True,11,4,5,136860,13740,16,171,3742,3047
517,Sylas,4,12,True,9,3,7,96903,11416,16,148,6656,3157
63,Brand,4,14,True,5,7,16,91180,10597,14,40,3851,4637
121,Khazix,11,4,True,3,5,6,153743,9508,15,23,6692,2031
59,JarvanIV,4,11,False,7,6,12,232090,15476,17,95,6630,2421
21,MissFortune,7,4,False,1,7,7,148764,11624,15,211,3042,2420
887,Gwen,12,6,False,8,11,6,201688,15897,17,216,3157,4633
166,Akshan,14,4,False,11,10,7,189059,15313,17,180,0,6672
147,Seraphine,4,14,False,1,7,13,35894,8783,14,23,3853,3158
236,Lucian,7,4,True,15,2,12,250839,20063,18,284,3139,3036
245,Ekko,12,4,True,13,8,3,237972,18092,18,258,3115,3135
111,Nautilus,14,4,True,2,5,16,38644,9195,15,36,3860,3190
106,Volibear,4,11,True,6,4,16,197091,13496,17,19,6632,3047
266,Aatrox,4,12,True,4,9,12,164194,13431,18,184,6630,3047
101,Xerath,4,12,False,4,2,1,115205,8851,14,174,4628,6655
40,Janna,4,14,False,0,3,4,23143,5073,11,20,3853,3117
523,Aphelios,4,7,False,2,3,1,84123,7899,11,160,6673,2031
39,Irelia,12,4,False,0,9,1,77288,6738,12,155,2421,2421
32,Amumu,11,4,False,0,12,1,71648,5097,10,24,3068,2031
266,Aatrox,4,12,True,5,3,7,103881,9435,14,134,6630,3044
81,Ezreal,4,7,True,4,0,6,132774,10954,15,203,1055,3042
76,Nidalee,4,11,True,11,2,5,206425,12033,15,44,4636,2031
245,Ekko,12,4,True,8,2,5,137441,11973,15,205,1056,3115
43,Karma,3,4,True,1,0,12,13648,6429,11,10,3853,3916
105,Fizz,14,4,False,12,6,2,32410,10160,12,38,3860,4636
29,Twitch,7,4,False,6,7,16,97584,11463,13,119,0,3006
42,Corki,12,4,False,2,8,6,138696,10619,14,197,3042,6673
20,Nunu,11,4,False,3,6,16,141428,10417,14,33,2031,3742
122,Darius,6,4,False,5,4,5,83504,10451,14,144,1055,3047
875,Sett,4,14,True,6,5,7,111521,11513,14,140,6630,3047
517,Sylas,14,4,True,9,7,8,76343,9836,13,100,3157,3108
145,Kaisa,7,4,True,5,5,11,132304,10713,13,188,6676,3086
267,Nami,4,14,True,3,7,12,14929,8525,12,13,1052,3853
59,JarvanIV,4,11,True,8,4,16,167562,13212,15,31,6630,0
267,Nami,14,4,True,2,6,23,16354,9067,13,9,3853,3191
150,Gnar,12,4,True,2,7,11,96984,8772,14,107,1055,3047
101,Xerath,21,4,True,7,4,16,138252,11802,15,169,1056,6653
48,Trundle,4,11,True,2,7,11,106167,9672,14,30,3111,2031
18,Tristana,4,7,True,25,6,5,234757,20383,16,188,3095,3033
111,Nautilus,4,3,False,2,12,9,25064,7251,11,35,6662,3860
875,Sett,4,14,False,7,7,8,152060,13203,14,185,6630,3047
38,Kassadin,4,12,False,7,6,3,106987,10676,14,149,3157,6656
245,Ekko,11,4,False,5,4,6,148699,10812,13,54,3152,2031
498,Xayah,7,4,False,9,9,10,149006,12158,13,165,2055,3006
875,Sett,4,14,True,4,7,11,131970,13916,16,173,6630,3111
74,Heimerdinger,14,4,True,12,8,9,154234,15862,18,166,4628,3089
267,Nami,4,14,True,4,11,18,17313,10278,15,6,0,3853
67,Vayne,4,7,True,15,7,6,269361,18832,18,188,3006,3139
245,Ekko,11,4,True,9,12,11,258444,16512,18,55,3152,3089
78,Poppy,4,14,False,8,6,18,89694,12564,16,88,4643,6662
62,MonkeyKing,12,4,False,7,8,4,152028,13770,17,214,3053,3091
34,Anivia,7,4,False,11,8,12,123773,14472,16,186,3135,6656
9,Fiddlesticks,4,11,False,10,9,13,222937,14762,17,54,6653,3157
246,Qiyana,14,4,False,9,13,9,209751,14849,18,196,6694,6693
4,TwistedFate,4,12,False,4,9,11,159700,12554,15,213,6656,3020
67,Vayne,7,4,False,9,5,12,167578,13942,16,198,3091,3006
121,Khazix,11,4,False,12,6,7,176949,14013,15,16,1036,3035
25,Morgana,4,14,False,5,3,19,62002,10816,15,41,0,3853
39,Irelia,12,4,False,4,12,2,146309,11413,15,218,3026,2033
145,Kaisa,4,7,True,7,8,3,156941,13095,15,196,1038,6676
19,Warwick,4,14,True,10,3,4,202744,16184,18,240,3078,3091
89,Leona,4,14,True,0,9,11,20918,8681,13,36,3860,3190
60,Elise,11,4,True,8,7,7,170278,13737,16,29,3152,3157
104,Graves,4,14,True,10,7,4,239082,17210,18,246,3036,6695
48,Trundle,4,12,False,4,6,4,204283,14266,17,219,3111,3748
7,Leblanc,4,14,False,4,10,5,94114,9036,14,121,6655,0
115,Ziggs,4,12,False,3,4,7,125121,9981,14,152,1056,6653
117,Lulu,14,4,False,1,5,7,23436,7517,12,25,3853,3011
234,Viego,4,11,False,5,10,3,129596,10093,13,37,6632,2031
57,Maokai,4,12,True,4,4,7,131558,10647,16,153,3068,3075
517,Sylas,4,14,True,17,2,4,191904,16108,18,217,3157,3158
141,Kayn,11,4,True,3,4,7,157337,10620,15,30,3158,3042
15,Sivir,7,4,True,8,5,13,180649,12997,16,199,3158,3042
26,Zilean,14,4,True,3,2,10,21196,8566,14,25,3853,2065
