champion,championName,spell1,spell2,win,kills,deaths,assists,totalDamageDealt,goldEarned,champLevel,totalMinionsKilled,item0,item1
5,XinZhao,11,4,False,4,9,6,105741,8767,11,34,3047,3053
202,Jhin,4,7,False,3,6,3,85380,7820,11,156,1055,2031
44,Taric,14,4,False,1,4,8,26117,5497,11,35,0,3860
38,Kassadin,4,12,False,6,8,3,118290,11012,15,185,3157,0
164,Camille,12,4,False,0,8,3,56519,5866,12,109,3078,3123
497,Rakan,14,4,True,3,3,27,17277,8622,13,11,3011,2065
141,Kayn,11,4,True,5,2,16,164971,11797,15,55,3071,6630
19,Warwick,21,4,True,6,1,11,106963,12118,15,168,6632,1057
238,Zed,14,4,True,6,5,8,123250,11498,14,181,3142,6694
134,Syndra,4,12,True,15,3,11,175032,14293,14,192,3089,6655
234,Viego,11,4,False,2,6,1,82483,6161,11,17,6632,3044
7,Leblanc,12,4,False,2,6,3,50109,6565,11,125,1056,0
3,Galio,4,14,False,3,4,2,18978,4811,9,24,3859,2031
523,Aphelios,4,7,False,0,4,1,70819,6434,10,144,6673,2031
58,Renekton,4,12,False,0,6,1,58967,5485,10,123,6630,2031
76,Nidalee,11,4,True,14,1,10,130297,12093,14,20,4636,3135
497,Rakan,14,4,True,0,2,8,13190,5166,9,27,3158,2065
157,Yasuo,4,12,True,2,3,3,109276,8518,13,171,1055,3006
887,Gwen,14,12,True,4,1,3,88563,9842,13,157,3067,4633
81,Ezreal,4,7,True,5,0,4,83948,9174,12,167,6632,3004
22,Ashe,1,4,False,2,6,2,62454,6969,11,143,6673,1036
526,Rell,14,4,False,0,6,9,14427,5522,9,32,3158,3190
61,Orianna,4,12,False,2,7,3,90243,7996,13,163,6653,2033
64,LeeSin,4,11,False,4,6,2,88635,9045,11,36,6630,2421
39,Irelia,4,12,False,4,5,2,105436,9624,12,179,3053,6630
875,Sett,4,12,True,7,4,7,87672,10211,13,141,6630,2055
110,Varus,4,1,True,2,4,10,109787,9583,13,169,6673,3006
497,Rakan,4,14,True,0,0,18,15709,6972,11,17,2065,3158
7,Leblanc,4,12,True,10,2,4,86440,10280,14,139,2033,3041
121,Khazix,4,11,True,11,2,4,120893,11420,13,11,6694,6609
131,Diana,4,14,False,4,5,7,68161,7875,12,118,1056,3152
48,Trundle,14,4,False,3,5,6,18965,6673,10,37,3067,2055
203,Kindred,4,11,False,1,4,6,91553,6729,11,36,2055,2031
875,Sett,4,12,False,4,5,4,110521,10426,14,182,1055,6630
22,Ashe,4,7,False,2,6,8,94841,8513,12,178,2031,6673
36,DrMundo,4,12,True,1,3,2,138155,10034,15,190,3047,3053
142,Zoe,4,14,True,5,0,5,137185,11348,15,193,4628,2033
201,Braum,3,4,True,0,4,14,21514,7416,11,28,3067,3190
523,Aphelios,4,7,True,9,3,1,132257,12573,13,181,3036,2055
121,Khazix,4,11,True,9,4,3,156013,11120,14,23,1053,3142
421,RekSai,4,32,False,6,13,11,30766,10272,14,20,6692,3047
61,Orianna,13,4,False,4,8,15,48747,10144,15,47,6655,3157
98,Shen,4,32,False,9,11,14,30961,11215,15,31,1038,6671
25,Morgana,32,4,False,1,8,12,32744,8636,14,24,6653,3157
6,Urgot,32,4,False,10,10,6,47507,11315,15,37,3184,6631
63,Brand,32,4,True,11,8,24,48868,11830,16,32,6653,3135
64,LeeSin,32,4,True,13,8,16,35662,11955,16,37,3177,6630
110,Varus,4,13,True,6,4,31,35238,10721,16,15,3042,3177
875,Sett,4,32,True,10,6,17,38947,11625,17,33,3047,6630
236,Lucian,4,14,True,10,4,28,70496,13298,17,81,6673,3004
7,Leblanc,32,4,False,14,15,24,79933,16667,18,44,6655,3916
36,DrMundo,32,4,False,9,13,22,74930,15607,18,32,3068,3065
119,Draven,4,32,False,19,17,22,116292,19433,18,83,3031,6671
54,Malphite,32,4,False,10,15,22,72289,14759,18,33,3157,3020
63,Brand,4,32,False,9,15,26,110089,15384,18,72,3135,3020
8,Vladimir,32,4,True,20,11,26,113651,17902,18,72,3020,3152
99,Lux,4,13,True,9,11,40,53533,15073,18,16,6655,3020
68,Rumble,32,4,True,10,13,26,72757,15505,18,47,4636,3157
164,Camille,4,32,True,13,16,17,74642,16060,18,42,3078,3111
202,Jhin,7,4,True,23,10,28,109225,19940,18,79,3036,6671
25,Morgana,14,4,True,2,7,18,19342,7585,12,4,3157,3853
64,LeeSin,11,4,True,4,3,14,118335,9752,13,5,6630,2421
18,Tristana,7,4,True,8,5,7,102477,10855,13,153,1055,6672
61,Orianna,4,12,True,8,1,14,130290,11720,14,172,3040,3041
39,Irelia,12,4,True,13,2,9,162728,14088,15,203,3053,2033
201,Braum,3,4,False,0,5,12,19388,5877,11,37,1011,3190
887,Gwen,12,14,False,1,8,0,84783,7798,13,172,4633,1052
22,Ashe,4,7,False,8,7,4,94684,11569,13,173,3124,6673
5,XinZhao,4,11,False,5,10,4,100650,7749,11,15,3047,6630
45,Veigar,12,4,False,4,5,5,94080,8895,13,169,3020,6656
37,Sona,4,7,True,1,4,23,34876,8403,13,56,3853,2065
432,Bard,4,14,True,3,2,19,20120,7786,12,23,3853,3190
245,Ekko,11,4,True,19,1,5,243423,17208,16,83,3115,3152
91,Talon,4,14,True,2,6,5,101780,8565,13,169,3142,6630
114,Fiora,12,4,True,9,5,7,100680,10723,14,159,1055,2031
164,Camille,4,14,False,8,8,3,109344,11894,13,178,3074,2055
517,Sylas,12,4,False,1,9,1,76747,6975,12,126,1056,6656
79,Gragas,4,11,False,2,7,10,101409,7738,12,23,0,4636
497,Rakan,14,4,False,2,3,10,20552,6426,11,43,4642,2065
81,Ezreal,4,7,False,5,7,4,86261,9318,11,173,1055,3123
142,Zoe,4,14,True,14,11,28,66137,15462,18,34,6655,3020
84,Akali,32,4,True,16,8,24,57823,16030,18,46,3020,3157
55,Katarina,4,32,True,15,16,36,65706,15773,18,27,4633,3157
96,KogMaw,7,4,True,18,9,41,126812,19255,18,108,6673,3091
110,Varus,1,4,True,18,11,35,89413,16548,18,52,3042,6691
61,Orianna,32,4,False,10,13,29,79214,15171,18,72,6655,4628
3,Galio,4,32,False,7,19,29,55482,13606,18,35,6656,3001
54,Malphite,32,4,False,14,16,18,47817,15601,18,14,4636,3020
